"MintATM","MINT0009",74,53,0.7162,21,0.2837,7,2,8,0,0,0,4
"MintATM","MINT0010",76,73,0.9605,3,0.0394,1,0,0,0,0,1,1
"MintATM","MINT0025",4,4,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0026",6,6,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0028",1,1,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0032",54,50,0.9259,4,0.0740,0,2,0,0,0,0,2
"MintATM","MINT0034",19,17,0.8947,2,0.1052,0,0,0,0,0,2,0
"MintATM","MINT0041",25,20,0.8000,5,0.2000,2,1,1,0,0,0,1
"MintATM","MINT0042",31,24,0.7741,7,0.2258,5,0,0,0,0,0,2
"MintATM","MINT0049",7,5,0.7142,2,0.2857,2,0,0,0,0,0,0
"MintATM","MINT0050",4,3,0.7500,1,0.2500,0,0,1,0,0,0,0
"MintATM","MINT0051",2,2,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0054",8,8,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0056",3,3,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0059",4,4,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0062",13,12,0.9230,1,0.0769,0,0,0,0,0,0,1
"MintATM","MINT0063",6,6,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0065",1,1,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0067",17,14,0.8235,3,0.1764,0,0,0,0,0,0,3
"MintATM","MINT0068",2,2,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0101",3,3,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0105",4,4,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0106",2,1,0.5000,1,0.5000,1,0,0,0,0,0,0
"MintATM","MINT0107",4,4,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0109",4,4,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0110",4,3,0.7500,1,0.2500,0,1,0,0,0,0,0
"MintATM","MINT0112",5,3,0.6000,2,0.4000,1,0,0,0,0,0,1
"MintATM","MINT0115",4,4,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0116",6,6,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0117",60,59,0.9833,1,0.0166,1,0,0,0,0,0,0
"MintATM","MINT0118",3,3,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0119",1,1,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0121",7,5,0.7142,2,0.2857,2,0,0,0,0,0,0
"MintATM","MINT0125",7,7,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0126",11,8,0.7272,3,0.2727,3,0,0,0,0,0,0
"MintATM","MINT0127",10,9,0.9000,1,0.1000,0,0,0,0,0,0,1
"MintATM","MINT0131",1,1,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0135",5,5,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0137",12,8,0.6666,4,0.3333,2,2,0,0,0,0,0
"MintATM","MINT0138",1,1,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0141",6,6,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0142",2,2,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0143",7,7,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0144",2,1,0.5000,1,0.5000,0,0,0,0,0,0,1
"MintATM","MINT0145",1,0,0.0000,1,1.0000,1,0,0,0,0,0,0
"MintATM","MINT0149",1,1,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0153",1,1,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0154",21,20,0.9523,1,0.0476,0,1,0,0,0,0,0
"MintATM","MINT0155",17,16,0.9411,1,0.0588,0,1,0,0,0,0,0
"MintATM","MINT0351",2,1,0.5000,1,0.5000,1,0,0,0,0,0,0
"MintATM","MINT0352",2,2,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0353",10,10,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0355",7,7,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0356",7,6,0.8571,1,0.1428,0,0,0,0,0,0,1
"MintATM","MINT0357",1,1,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0358",22,15,0.6818,7,0.3181,1,0,0,0,0,1,5
"MintATM","MINT0360",6,6,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0402",3,2,0.6666,1,0.3333,0,0,0,0,0,0,1
"MintATM","MINT0403",8,5,0.6250,3,0.3750,2,0,1,0,0,0,0
"MintATM","MINT0406",6,5,0.8333,1,0.1666,0,0,1,0,0,0,0
"MintATM","MINT0407",2,1,0.5000,1,0.5000,0,0,0,0,0,0,1
"MintATM","MINT0408",1,1,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0409",8,8,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0410",1,1,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0411",3,3,1.0000,0,0.0000,0,0,0,0,0,0,0
"MintATM","MINT0414",8,7,0.8750,1,0.1250,0,0,0,0,0,0,1
